游戏名称,价格,好评率,好评人数,平均游玩时长,标签,所属主类
Super Hero League of Hoboken,¥ 28.00,92%,14,3.9h,"冒险, 策略, 复古, 超级英雄, 角色扮演",冒险类; 角色扮演类; 策略类
Soccer Kid,¥ 36.00,9 篇用户评测,9,0.2h,"体育, 动作, 冒险, 平台游戏",动作类; 冒险类; 体育类
Rainbow Run,¥ 15.00,无用户评测,,3.2h,"动作, 休闲, 独立, 策略, 3D 平台, 困难",动作类; 策略类; 休闲类
Water Margin - The Tale of Clouds and Wind,¥ 46.00,72%,22,2.0h,"动作, 冒险, 清版动作, 街机, 单人",动作类; 冒险类
Shishi : Ballad of the Oracle,¥ 0.00,,,,"女性主角, 时空旅行, 动作冒险, 可爱, 冒险, 奇幻, 探索, 彩色, 动漫, 原声音轨, 角色扮演, 开放世界, 剧情丰富, 动作角色扮演, 独立, 第三人称, 动作, 单人, 控制器, 回合制战斗",动作类; 冒险类; 角色扮演类
東方覚醒珠（※二次創作） ～ Fan-made Virtual Autography.,¥ 50.00,86%,23,7.3h,"动作, 独立, 信仰, 弹幕射击, 清版射击",动作类
The Lost VR,¥ 50.00,84%,13,0.6h,"动作, 策略, 虚拟现实",动作类; 策略类
MO:Astray,¥ 50.00,92%,"4,044",7.5h,"独立, 动作, 冒险, 像素图形, 平台解谜, 平台游戏, 科幻, 单人, 血腥, 可爱, 氛围, 2D, 好评原声音轨, 剧情丰富, 暴力, 横向滚屏, 困难, 黑暗奇幻, 解谜, 2D 平台",动作类; 冒险类; 解谜类
PixoCities,¥ 0.00,,,,"独立, 休闲, 模拟, 冒险, 像素图形",冒险类; 模拟类; 休闲类
Rune Fencer Illyia,¥ 0.00,,,,"动作, 冒险, 类银河战士恶魔城, 动作冒险, 平台游戏, 探索, 砍杀, 横向滚屏, 类魂系列, 2D, 氛围, 黑暗, 黑暗奇幻, 奇幻, 困难, 剑术, 战斗, 可爱, 魔法, 控制器",动作类; 冒险类
国王万岁(国王别饿死),¥ 29.00,8 篇用户评测,8,6.7h,"体素, 模拟, 建造, 生存, 中世纪, 奇幻, 资源管理, 制作, 采矿, 狩猎, 策略, 僵尸, 战斗, 独立, 抢先体验, 库存管理, 城市营造, 基地建设, 单人",模拟类; 策略类
未获取到,未获取到价格,,,9.6h,,
BAFF 2,¥ 11.00,3 篇用户评测,3,5.6h,"2D, 解谜, 风格化, 单人, 快节奏, 困难, 短篇, 像素图形, 极简主义, 抽象, 老式, 复古, 阖家, 氛围, 策略, 时间竞速, 试验性, 冒险, 独立, 模拟",冒险类; 模拟类; 策略类; 解谜类
Pixel Force 像素特攻队,¥ 0.00,,,,"独立, 策略, 角色扮演, 抢先体验, 像素图形",角色扮演类; 策略类
Radiance,¥ 0.00,,,,"动作, 单人, 第一人称, 后末日, 氛围, 剧情丰富, 生存, 冒险, 探索, 模拟, 独立, 暴力, 心理恐怖, 欢乐, 喜剧, 历史",动作类; 冒险类; 模拟类
Mystery Masterpiece: The Moonstone,¥ 20.30,72%,11,4.9h,"策略, 冒险, 独立, 休闲, 仅鼠标, 隐藏物体",冒险类; 策略类; 解谜类; 休闲类
Vacation Adventures: Park Ranger 3,¥ 14.00,4 篇用户评测,4,6.0h,"隐藏物体, 解谜, 指向点击, 女性主角, 2D, 放松, 线性, 休闲, 彩色, 阖家, 冒险, 单人, 独立",冒险类; 解谜类; 休闲类
TKKG - Die Feuerprobe,¥ 7.40,62%,37,10.9h,"隐藏物体, 互动小说, 指向点击, 冒险, 2D, 推理, 选择取向, 独立, 记叙, 剧情丰富, 动作, 复古, 单人, 非主流经典",动作类; 冒险类; 解谜类
From Head to Toe,免费,79%,105,6.4h,"独立, 休闲, 冒险, 女性主角, 短篇, 情感, 视觉小说, 2D, 互动小说, 试验性, 氛围, 步行模拟, 剧情丰富, 对话, 免费开玩",冒险类; 休闲类
Midnight Grub Session,¥ 6.00,2 篇用户评测,2,1.2h,"动作, 独立",动作类
The Man Came Around,免费开玩,84%,63,6.1h,"惊悚, 黑色, 指向点击, 困难, 生存, 选择取向, 超现实, 永久死亡, 单人, 冒险, 政治性, 角色扮演, 2D, 反乌托邦, 剧情丰富, 记叙, 氛围, 多结局, 互动小说, 自选历险体验",冒险类; 角色扮演类; 解谜类
Dots: Revamped!,免费,100%,23,12.5h,"休闲, 动作, 独立, 可爱, 免费开玩",动作类; 休闲类
Alien Kingdom,¥ 26.00,1 篇用户评测,1,4.6h,"独立, 休闲, 动作, 血腥, 暴力, 策略, 模拟, 冒险, 角色扮演, 氛围, 基地建设",动作类; 冒险类; 角色扮演类; 模拟类; 策略类; 休闲类
我炼金超牛,¥ 43.00,77%,367,2.6h,"休闲, 时间管理, 模拟, 沉浸式模拟, 制作, 贸易, 生活模拟, 魔法, 互动小说, 放松, 3D, 第一人称, 欢乐, 彩色, 生存, 极简主义, 风格化, 卡通风格, 奇幻, 逻辑",冒险类; 模拟类; 休闲类
Arcadius,免费开玩,69%,854,4.2h,"多人, 免费开玩, 采矿, 休闲, 独立, 3D, 冒险, 模拟, 抢先体验, 氛围, 线性, 生活模拟, 收集马拉松, 探索, 彩色, 可爱, 钓鱼, 制作, 角色自定义, 生存",冒险类; 模拟类; 休闲类
Triangulum,¥ 11.00,3 篇用户评测,3,1.0h,"解谜, 2D, 放松, 休闲, 独立, 单人",解谜类; 休闲类
OXXO,¥ 11.00,94%,277,3.3h,"休闲, 独立, 解谜, 极简主义",解谜类; 休闲类
MonsterCastle - 怪物城堡,¥ 0.00,,,,"休闲, 策略, 独立, 角色扮演, 模拟",角色扮演类; 模拟类; 策略类; 休闲类
Infinity Attackers,¥ 6.00,,,1.5h,"动作, 冒险",动作类; 冒险类
Sharpshooter Plus,¥ 18.00,4 篇用户评测,4,0.8h,"动作, 独立, 休闲, 竞分, 阖家, 触控, 快节奏, 射击, 2D, 困难, 短篇, 重玩价值",动作类; 射击类; 休闲类
Pakicetus,免费,55%,18,10.5h,"免费开玩, 休闲, 独立, 冒险, 策略",冒险类; 策略类; 休闲类
The Cube,¥ 11.00,81%,11,1.5h,"独立, 休闲",休闲类
Dark Moon,¥ 76.00,47%,146,9.8h,"管理, 基地建设, 经济, 殖民模拟, 资源管理, 选择取向, 黑暗, 探索, 后末日, 策略, 即时战略, 生存, 太空, 科幻, 单人, 氛围, 独立, 模拟, 快节奏, 欢乐",冒险类; 模拟类; 策略类
Shine's Adventures 2 (Zombie Attack),¥ 15.00,89%,107,3.0h,"动作, 休闲, 独立, 冒险, 裸露, 角色扮演, 策略, 血腥, 暴力, 僵尸, 动漫, 色情内容",动作类; 冒险类; 角色扮演类; 策略类; 休闲类
Game of Thrones Winter is Coming,免费开玩,61%,"2,715",51.9h,"免费开玩, 大型多人在线, 策略, 角色扮演, 奇幻, 模拟, 城市营造, 开放世界, 即时战略, 策略角色扮演, 战争游戏, 大战略, 即时战术, 中世纪, 战术角色扮演, 2.5D, 3D 平台, 龙, 第三人称, 外交",冒险类; 角色扮演类; 模拟类; 策略类
Bandit Point,¥ 37.00,75%,12,1.5h,"动作, 独立, 暴力, 虚拟现实, 射击, 第一人称, 科幻, 单人, 奇幻, 机器人",动作类; 射击类
Fist of the Forgotten,¥ 0.00,,,,"精确平台, 平台游戏, 动作冒险, 女性主角, 2.5D, 后末日, 动作, 风格化, 反乌托邦, 科幻, 氛围, 机器人, 冒险, 电影式, 黑暗, 战斗, 控制器, 单人, 物理, 情感",动作类; 冒险类
Flight of the Amazon Queen: 25th Anniversary Edition,¥ 18.00,77%,48,2.3h,"冒险, 解谜, 指向点击, 2D, 卡通, 卡通风格, 像素图形, 第三人称, 架空历史, 恐龙, 阖家, 复古, 二战, 选择取向, 对话, 库存管理, 剧情丰富, 教程, 单人, 电影",冒险类; 解谜类
GGG Collection,免费开玩,68%,16,6.2h,"动作, 独立, 休闲",动作类; 休闲类
人中之龙４　继承传说者,¥ 114.00,91%,"5,442",25.4h,"动作, 冒险, 清版动作, 开放世界, 角色扮演, 动作角色扮演, 第三人称, 剧情丰富, 犯罪, 剧情, 喜剧, 暴力, 单人, 日系角色扮演, 欢乐, 战斗, 好评原声音轨, 动漫, 色情内容, 武术",动作类; 冒险类; 角色扮演类
Over Sky,¥ 5.99,2 篇用户评测,2,2.0h,"动作, 独立",动作类
QuizWitz,¥ 0.00,,,,"独立, 抢先体验, 休闲, 教育, 合作, 喜剧, 棋盘游戏, 本地合作, 多人, 4 人本地, 阖家, 本地多人",休闲类
Light Hunters: Battalion of Darkness,免费开玩,57%,14,16.2h,"策略, 免费开玩, 独立, 卡牌游戏, 棋盘游戏, 大型多人在线, 回合战略, 回合制战术, 2D, 奇幻, 玩家对战, 桌上游戏, 多人, 单人",策略类
人中之龙５　实现梦想者,¥ 114.00,88%,"5,978",45.9h,"动作, 冒险, 清版动作, 开放世界, 犯罪, 角色扮演, 剧情丰富, 动作角色扮演, 剧情, 第三人称, 喜剧, 单人, 欢乐, 暴力, 日系角色扮演, 战斗, 好评原声音轨, 动漫, 节奏, 色情内容",动作类; 冒险类; 角色扮演类
Kra-Ken,免费开玩,81%,33,4.6h,"免费开玩, 动作, 2D 格斗, 格斗, 多人",动作类
Final Crash Demo,免费,83%,12,11.6h,"独立, 动作, 清版动作, 本地多人, 格斗, 本地合作",动作类
Dream Cycle,¥ 76.00,58%,248,10.5h,"冒险, 探索, 女性主角, 单人, 动作冒险, 潜行, 洛夫克拉夫特式, 超现实, 魔法, 第三人称, 控制器, 动作, 轻度 Rogue, 黑暗, 战斗, 第一人称, 剧情丰富, 玩家对战环境, 类魂系列, 生存",动作类; 冒险类
Welcome To... Chichester 2 - Part II : No Regrets For The Future,¥ 11.00,2 篇用户评测,2,3.1h,"视觉小说, 独立, 喜剧, 剧情, 休闲, 冒险, 暴力, 色情内容, 单人, 续作, 抢先体验, 互动小说, 动漫, 可爱, 美国, 剧情丰富, 选择取向, 多结局, 欢乐, 对话",冒险类; 休闲类
Exertus,¥ 3.08,85%,283,1.7h,"动作, 精确平台, 第一人称射击, 跑酷, 3D 平台, 教程, 休闲, 困难, 第一人称, 3D, 平台游戏, 放松, 极简主义, 彩色, 抽象, 阖家, 氛围, 物理, 冒险, 唯美",动作类; 射击类; 冒险类; 休闲类
Grind: Skateboarding,¥ 22.00,50%,10,1.4h,"体育, 独立, 动作, 沙盒, 建造, 精确平台, 第三人称, 地下, 氛围, 老式, 休闲, 角色自定义, 子弹时间, 关卡编辑, 单人, 滑板",动作类; 模拟类; 体育类; 休闲类
Stay Safe: Labyrinth of the Mad,¥ 26.00,73%,34,2.6h,"类 Rogue, 迷宫探索, 永久死亡, 回合制, 程序生成, 角色扮演, 2D, 像素图形, 俯视, 网格导向动作, 回合制战斗, 奇幻, 冒险, 单人, 控制器, 独立, 传统类 Rogue, 休闲, 策略, 复古",冒险类; 角色扮演类; 策略类; 休闲类
HANGMAN,¥ 6.00,71%,35,1.4h,"恐怖, 休闲, 独立, 黑暗, 文字游戏, 单人, 解谜, 模拟, 指向点击, 街机, 打字, 拼字, 手绘, 风格化, 基于文字, 逻辑, 心理恐怖, 惊悚, 重制, 体育",动作类; 冒险类; 模拟类; 体育类; 解谜类; 休闲类
Wheel of Fate,¥ 6.00,62%,24,4.2h,"角色扮演, 独立, 人工智能, 回合制战斗, 抢先体验",角色扮演类
未获取到,未获取到价格,,,0.4h,,
東方獣王園 〜 Unfinished Dream of All Living Ghost.,¥ 58.00,93%,"1,165",14.3h,"动作, 清版射击, 弹幕射击, 射击, 女性主角, 信仰, 2D, 独立, 奇幻, 剧情丰富, 单人, 好评原声音轨, 困难, 本地多人, 多人, 可爱, 街机, 动漫",动作类; 射击类
Veiled Skies,¥ 36.00,3 篇用户评测,3,0.4h,"日系角色扮演, 角色扮演, 回合制战斗, 单人, 女性主角, 动漫, 剧情丰富, 冒险",冒险类; 角色扮演类
富甲天下2,¥ 24.00,90%,44,15.3h,"休闲, 策略, 回合战略, 团队角色扮演, 棋盘游戏, 策略角色扮演, 自走棋, 回合制战术, 战术角色扮演, 可爱, 等角视角, 彩色, 欢乐, 历史, 玩家对战, 回合制战斗, 单人, 多人, 本地多人, 4 人本地",角色扮演类; 策略类; 休闲类
The Shifting Cavern,¥ 0.00,,,,"奇幻, 角色扮演, 冒险, 程序生成, 探索, 像素图形, 故事架构丰富, 迷宫探索, 动作角色扮演, 动作冒险, 2D, 俯视, 复古, 战斗, 轻度 Rogue, 动作, 可模组化, 玩家对战环境, 剧情丰富, 单人",动作类; 冒险类; 角色扮演类
幸存者之地,¥ 22.00,9 篇用户评测,9,1.3h,"僵尸, 车辆作战, 类 Rogue, 轻度 Rogue, 弹幕射击, 动作, 清版动作, 塔防, 俯视射击, 动作类 Rogue, 清版射击, 3D, 俯视, 独立, 后末日, 摩托车, 单人, 冒险, 反乌托邦, 休闲",动作类; 冒险类; 策略类; 休闲类
Capcom Fighting Collection 2,¥ 198.00,86%,686,16.7h,"动作, 2D 格斗, 街机, 格斗, 像素图形, 90 年代, 复古, 竞分, 合作, 本地多人, 3D 格斗, 多人, 本地合作, 在线合作, 单人",动作类
再来一张,¥ 58.00,81%,"2,758",7.0h,"牌组构建式类 Rogue, 策略, 类 Rogue, 卡牌游戏, 牌组构建, 卡牌战斗, 轻度 Rogue, 单人, 角色扮演, 重玩价值, 2D, 休闲, 程序生成, 奇幻, 像素图形, 赌博, 回合制, 资本主义, 仅鼠标, 困难",角色扮演类; 策略类; 休闲类
Puzzle Go,¥ 35.00,,,,"休闲, 解谜, 棋盘游戏, 平台解谜, 2D, 在线合作, 单人",解谜类; 休闲类
The Witch’s Cookbook,¥ 22.00,2 篇用户评测,2,0.1h,"休闲, 模拟, 烹饪, 魔法, 沉浸式模拟, 拼字, 3D, 彩色, 可爱, 制作, 奇幻, 欢乐, 对话, 单人, 沙盒, 街机, 合作, 蓄意操控困难, 社交推理, 独立",动作类; 模拟类; 休闲类
彗星战团,¥ 15.00,86%,184,3.1h,"视觉小说, 风格化, 电影式, 科幻, 机甲, 动漫, 探索, 互动小说, 文字游戏, 角色扮演, 故事架构丰富, 剧情丰富, 太空, 战争, 氛围, 剧情, 冒险, 独立, 未来, 单人",冒险类; 角色扮演类
Little Houses of Bloomwood,¥ 76.00,3 篇用户评测,3,0.1h,"抢先体验, 生活模拟, 设计与插画, 建造, 沙盒, 城市营造, 单人, 休闲, 放松, 模拟, 氛围, 彩色, 沉浸式模拟, 自然, 可爱, 第三人称, 3D, 可模组化, 悬疑, 故事架构丰富",模拟类; 休闲类
Valeria the Pagan Priestess,¥ 0.00,,,,"砍杀, 2D 平台, 动作冒险, 黑暗奇幻, 类银河战士恶魔城, 横向滚屏, 女性主角, 暴力, 清版动作, 像素图形, 动作, 2D, 探索, 冒险, 中世纪, 90 年代, 复古, 单人, 血腥, 独立",动作类; 冒险类
奈米使徒计划,¥ 50.00,94%,"1,036",5.0h,"Boss Rush, 动作, 黑暗, 动作角色扮演, 弹幕射击, 砍杀, 未来, 类魂系列, 华丽格斗, 2D, 动漫, 像素图形, 俯视, 黑暗奇幻, 机器人, 科幻, 战斗, 女性主角, 单人, 独立",动作类; 角色扮演类
Alpha MMXXV,¥ 0.00,,,,"动作, 策略, 射击, 俯视射击, 2D, 黑暗, 未来, 科幻, 免费开玩, 太空, 玩家对战",动作类; 射击类; 策略类
Xon,¥ 22.00,9 篇用户评测,9,2.8h,"休闲, 策略, 城市营造, 上帝模拟, 即时战术, 时间管理, 2D, 极简主义, 像素图形, 建造, 经济, 阖家, 奇幻, 魔法, 管理, 放松, 战术, 基地建设, 资源管理, 多人",射击类; 模拟类; 策略类; 休闲类
未获取到,未获取到价格,,,0.7h,,
Beginning of the Rain,¥ 11.00,80%,26,8.7h,"休闲, 模拟, 恋爱模拟, 互动小说, 视觉小说, 自选历险体验, 点击游戏, 2D, 动漫, 卡通, 彩色, 可爱, 基于文字, 喜剧, 剧情, 情感, 欢乐, 放松, 对话, 记叙",冒险类; 模拟类; 休闲类
PIGBLUE,免费开玩,92%,81,6.9h,"视觉小说, 基于文字, 自选历险体验, 悬疑, 冒险, 解谜, 氛围, 剧情, 心理恐怖, 像素图形, 黑色, 免费开玩, 独立, 打字, 剧情丰富, 单人",冒险类; 解谜类
Bike Offroad Simulator,¥ 336.00,80%,10,14.1h,"模拟, 3D, 彩色, 拟真, 第三人称, 竞速, 线性, 开放世界, 物理, 快速反应事件, 时空操控, 车辆作战, 独立, 单人, 越野, 阖家",冒险类; 模拟类; 竞速类
地下城资本家 (Dungeon Tycoon),¥ 58.00,78%,"1,381",6.8h,"管理, 塔防, 迷宫探索, 策略, 奇幻, 经济, 模拟, 重玩价值, 城市营造, 沙盒, 黑色幽默, 单人, 彩色, 建造, 上帝模拟, 中世纪, 龙与地下城, 体素, 像素图形, 可爱",模拟类; 策略类
City of Cats,¥ 6.00,33%,12,3.3h,"冒险, 休闲, 模拟, 体育, 单人, 猫, 狩猎, 阖家, 独立, 可爱, 开放世界",冒险类; 模拟类; 体育类; 休闲类
Cube Escape,¥ 18.00,,,0.1h,"休闲, 解谜, 策略, 单人, 独立, 关卡编辑, 推箱子, 纸牌, 网格导向动作, 2.5D",策略类; 解谜类; 休闲类
Phantom Line,¥ 0.00,,,,"抢先体验, 恐怖, 合作, 第一人称射击, 开放世界, 军事, 战术, 生存恐怖, 玩家对战环境, 沉浸式模拟, 探索, 后末日, 射击, 动作, 动作冒险, 故事架构丰富, 沙盒, 单人, 制作, 拟真",动作类; 射击类; 冒险类
Big Sword Hero,¥ 6.00,无用户评测,,1.0h,"2D 平台, 动作, 玩家对战, 平台游戏, 2D, 控制器, 卡通风格, 奇幻, 中世纪, 神话, 战斗, 4 人本地, 本地多人",动作类
Haunted Investigation,¥ 18.00,83%,196,1.3h,"恐怖, 在线合作, 心理恐怖, 本地合作, 多结局, 冒险, 探索, 动作, 恶魔, 动作冒险, 不可思议迷宫, 记叙, 3D, 合作, 电影式, 单人, 独立, 抢先体验, 黑暗, 调查",动作类; 冒险类
Super Monkie Bounce Fatal,¥ 18.00,1 篇用户评测,1,,"休闲, 街机, 3D 格斗, 战斗竞速, 三消, 3D 平台, 3D, 彩色, 风格化, 俯视, 分屏, 竞速, 棒球, 阖家, 足球, 摔角, 物理, 子弹时间, 战斗, 竞分",动作类; 体育类; 竞速类; 休闲类
SolForge Fusion,免费开玩,75%,307,17.5h,"抢先体验, 免费开玩, 卡牌游戏, 牌组构建式类 Rogue, 集换式卡牌游戏, 轻度 Rogue, 卡牌战斗, 牌组构建, 重玩价值, 竞技, 程序生成, 战术, 回合制, 策略, 玩家对战, 多人, 休闲, 单人, 彩色, 恐龙",射击类; 策略类; 休闲类
AMONG THE WILD,¥ 0.00,,,,"抢先体验, 生物收集, 农场模拟, 探索, 第一人称, 沙盒, 冒险, 悬疑, 放松, 氛围, 开放世界, 自然, 建造, 制作, 管理, 基地建设, 烹饪, 风格化, 休闲, 3D",冒险类; 模拟类; 休闲类
未获取到,未获取到价格,,,2.8h,,
Ultimate Tag,¥ 11.00,2 篇用户评测,2,,"动作, 4 人本地, 玩家对战, 2D 平台, 平台游戏, 阖家, 休闲, 2D, 像素图形, 未来, 独立, 老式, 选择取向, 控制器, 多人",动作类; 休闲类
百日行 Hundred Day Journey,¥ 0.00,,,,"抢先体验, 探索, 3D 平台, 轻度 Rogue, 永久死亡, 回合战略, 棋盘游戏, 动作角色扮演, 策略, 动作冒险, 角色扮演, 类 Rogue, 3D, 第三人称, 剧情丰富, 非线性, 奇幻, 管理, 冒险, 魔法",冒险类; 角色扮演类; 策略类
未获取到,未获取到价格,,,1.3h,,
Cleanup Crew,¥ 0.00,,,,"动作类 Rogue, 清版射击, 动作角色扮演, 俯视射击, 轻度 Rogue, 弹幕射击, 射击, 街机, 类 Rogue, 2D, 生存, 黑色幽默, 枪械改装, 动作, 单人, 手绘, 俯视",动作类; 射击类; 角色扮演类
Necromancers' Arena,¥ 58.00,1 篇用户评测,1,,"双摇杆射击, 团队角色扮演, 2.5D, 可爱, 黑暗奇幻, 迷幻, 手绘, 竞技场射击, 清版射击, 俯视射击, 动作角色扮演, 卡通风格, 彩色, 90 年代, 反乌托邦, 极简主义, 俯视, 动作, 射击, 角色扮演",动作类; 射击类; 角色扮演类
Watchmakers,¥ 0.00,,,,"剧情丰富, 冒险, 解谜, 时空旅行, 开放世界, 卡通风格, 奇幻, 单人, 3D 平台, 平台解谜, 彩色, 叙事",冒险类; 解谜类
Clone Drone in the Hyperdome,¥ 17.60,90%,999,8.1h,"动作, 剑术, 格斗, 叙事, 虚拟现实, 破坏, 体素, 动作类 Rogue, 机器人, 战斗, 砍杀, 科幻, 玩家对战环境, 第一人称, 欢乐, 未来, 3D 平台, 单人, 彩色, 超人类主义",动作类
Don Salmon,¥ 0.00,,,,"2D 平台, 动作, 战斗, 探索, 可爱, 平台游戏, 忍者, 精确平台, 2D, 彩色, 极简主义, 风格化, 冒险, 自然, 氛围, 老式, 复古, 卡通, 单人, 独立",动作类; 冒险类
Forastero,¥ 0.00,,,,"动作冒险, 清版动作, 西部, 单人, 第三人称, 角色动作, 欢乐, 喜剧, 网络梗, 黑色幽默, 漫画, 快速反应事件, 武术, 格斗, 华丽格斗, 风格化, 战斗, 动作, 冒险, 独立",动作类; 冒险类
Hells Bend on Wounded Knee,¥ 18.00,4 篇用户评测,4,,"竞技场射击, 英雄射击, 第一人称射击, 射击, 动作冒险, 3D, 第一人称, 动作, 后末日, 子弹时间, 恶魔, 奇幻, 中世纪, 冒险, 氛围, 信仰, 战斗, 单人, 独立",动作类; 射击类; 冒险类
Timeless Rain,¥ 0.00,,,,"类银河战士恶魔城, 手绘, 剧情丰富, 冒险, 困难, 平台游戏, 单人, 风格化, 精确平台, 2D, 自然, 时空操控, 彩色, 2D 平台, 极简主义, 探索, 奇幻, 独立",动作类; 冒险类
Castle Crafter,¥ 22.00,,,,"动作, 休闲, 街机, 大逃杀, 射击, 第一人称射击, 第三人称射击, 双摇杆射击, 3D, 风格化, 第三人称, 体素, 建造, 生存, 制作, 合作, 多人, 在线合作, 单人, 抢先体验",动作类; 射击类; 模拟类; 休闲类
